Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
101,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-093,1995,17,1445,85,57.3,16.1,1.06,85,0.93,0.00,,0.00,1.94,1.93,1.18,0.75,+0.75,+0.41,1.29,1.12,0.17,+0.17,-0.07,Matches
102,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-005,1994,6,405,68,16.1,4.5,1.33,68,0.22,0.00,,0.00,1.50,0.67,0.67,0.00,0.00,+0.38,1.07,0.98,0.09,+0.09,+0.26,Matches
103,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-141,1993,26,1732,67,68.7,19.2,0.99,84,0.52,0.36,20,0.00,0.96,0.73,1.25,-0.52,-0.52,-0.41,1.05,1.33,-0.28,-0.27,-0.31,Matches
104,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-022,1987,18,927,52,36.8,10.3,0.87,78,0.58,0.87,25,0.00,1.89,1.65,0.87,0.78,+0.78,-0.07,1.42,1.02,0.40,+0.40,+0.03,Matches
105,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-213,1996,19,1123,59,46.2,12.5,0.88,85,0.56,0.64,24,0.40,1.16,1.20,1.12,0.08,+0.08,-0.33,1.36,1.18,0.18,+0.18,-0.06,Matches
106,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-047,1995,1,90,90,3.7,1.0,1.00,90,1.00,0.00,,6.00,1.00,1.00,1.00,0.00,0.00,-0.27,2.30,1.50,0.80,+0.83,+0.64,Matches
107,Kgagelo Chauke\Kgagelo-Chauke,eng ENG,MF,Southampton,18-059,2003,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
108,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-077,1996,20,1666,83,68.6,18.5,1.08,83,0.86,0.00,,0.22,1.65,1.51,0.97,0.54,+0.54,-0.28,1.52,0.88,0.65,+0.65,-0.06,Matches
109,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-158,1997,9,305,34,12.1,3.4,1.18,71,0.29,1.47,5,3.82,1.67,0.88,0.59,0.29,+0.30,-0.31,1.41,1.38,0.03,+0.04,-0.18,Matches
110,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-332,1996,10,819,82,33.7,9.1,0.99,85,0.88,0.11,55,0.55,1.90,1.65,0.99,0.66,+0.66,+0.04,1.62,1.10,0.52,+0.52,-0.22,Matches
