Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
84,Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,34-157,1986,1.0,32.0,33.0,97.0,813.0,519.0,12.0,12.0,100.0,10.0,10.0,100.0,10.0,11.0,90.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Timothy Castagne\Timothy-Castagne,be BEL,DF,Leicester City,25-093,1995,16.1,43.8,53.9,81.2,706.3,266.4,22.3,24.8,89.8,18.4,22.1,83.4,2.61,5.28,49.4,0.12,0.07,0.05,0.87,2.61,0.93,0.19,3.66,Matches
86,Jonny Castro\Jonny-Castro,es ESP,DF,Wolves,27-005,1994,4.5,33.3,42.4,78.5,485.6,162.2,19.8,22.2,89.0,11.8,14.0,84.1,1.11,3.11,35.7,0.00,0.02,-0.02,0.44,1.56,0.00,0.00,1.78,Matches
87,Ivan Cavaleiro\Ivan-Cavaleiro,pt POR,FWMF,Fulham,27-141,1993,19.2,22.3,30.6,72.9,361.3,79.7,12.1,14.6,82.9,7.40,9.27,79.8,2.08,4.43,47.1,0.00,0.11,-0.11,1.56,0.63,0.99,0.31,1.77,Matches
88,Edinson Cavani\Edinson-Cavani,uy URU,FW,Manchester Utd,34-022,1987,10.3,17.5,22.5,77.6,297.5,41.3,8.83,10.7,82.7,5.73,7.28,78.7,2.23,2.52,88.5,0.19,0.17,0.03,0.87,0.78,0.87,0.10,1.26,Matches
89,Dani Ceballos\Dani-Ceballos,es ESP,MF,Arsenal,24-213,1996,12.5,61.0,70.8,86.2,1222.6,298.0,21.8,24.3,89.8,28.6,31.3,91.3,10.0,13.2,75.8,0.16,0.18,-0.02,1.44,7.84,1.28,0.16,6.80,Matches
90,Calum Chambers\Calum-Chambers,eng ENG,DF,Arsenal,26-047,1995,1.0,49.0,66.0,74.2,759.0,194.0,30.0,35.0,85.7,14.0,19.0,73.7,5.00,9.00,55.6,0.00,0.10,-0.10,2.00,4.00,1.00,1.00,1.00,Matches
91,Ben Chilwell\Ben-Chilwell,eng ENG,DF,Chelsea,24-077,1996,18.5,59.7,75.6,78.9,1027.3,353.0,29.0,31.8,91.3,23.6,28.6,82.3,5.57,11.5,48.4,0.22,0.08,0.14,1.03,4.22,0.92,0.32,5.84,Matches
92,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,23-158,1997,3.4,55.0,67.9,81.0,1070.3,181.2,20.9,25.9,80.7,25.6,29.7,86.1,7.65,10.3,74.3,0.00,0.00,0.00,0.00,3.82,0.00,0.00,2.35,Matches
93,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,24-332,1996,9.1,67.7,72.7,93.1,1455.5,362.4,18.6,19.8,93.9,37.9,39.7,95.6,10.9,12.7,85.3,0.00,0.00,0.00,0.11,2.31,0.00,0.00,2.97,Matches
94,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,31-163,1989,15.4,30.8,37.2,82.9,619.5,208.5,10.9,12.3,88.4,14.8,16.5,89.8,4.74,7.53,62.9,0.00,0.01,-0.01,0.13,2.01,0.13,0.00,1.88,Matches
95,Nathaniel Clyne\Nathaniel-Clyne,eng ENG,DF,Crystal Palace,29-337,1991,12.7,34.4,44.8,76.8,543.3,216.5,18.5,20.2,91.4,12.9,16.2,79.6,2.28,5.91,38.7,0.08,0.03,0.05,0.31,1.50,1.02,0.47,1.97,Matches
