Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
59,Steven Bergwijn\Steven-Bergwijn,nl NED,FWMF,Tottenham,23-151,1997,11.3,40.9,0.97,6.55,20.3,18.4,2.39,40.2,1.33,2.65,50.0,1.42,0.00,31.2,177.7,95.8,4.07,1.86,0.62,1.95,1.68,45.2,30.3,66.9,4.96,Matches
60,Bernard\Bernard,br BRA,FWMF,Everton,28-181,1992,4.2,68.1,1.43,7.14,32.4,32.1,3.33,67.4,1.90,3.10,61.5,1.90,0.71,49.8,261.7,131.4,6.67,2.14,0.24,2.14,2.14,58.1,49.0,84.4,7.62,Matches
61,Bernardo\Bernardo,br BRA,DFMF,Brighton,25-298,1995,2.3,50.4,1.30,12.2,17.4,23.5,2.17,47.4,0.00,0.87,0.0,0.00,0.00,29.6,117.4,51.3,1.74,0.43,0.00,0.87,2.17,43.0,33.9,78.8,1.74,Matches
62,Ryan Bertrand\Ryan-Bertrand,eng ENG,DF,Southampton,31-215,1989,24.9,62.3,2.25,15.4,31.0,19.1,1.49,50.5,0.20,0.28,71.4,0.20,0.00,31.5,154.3,85.8,3.82,1.41,0.36,0.56,0.36,40.3,34.7,86.2,2.41,Matches
63,Yves Bissouma\Yves-Bissouma,ml MLI,MF,Brighton,24-190,1996,23.6,60.5,2.67,16.4,35.0,13.5,0.25,59.5,1.31,2.03,64.6,1.40,0.13,41.8,250.4,106.9,4.15,1.48,0.00,0.93,0.89,41.9,39.6,94.4,0.85,Matches
64,Jayden Bogle\Jayden-Bogle,eng ENG,DF,Sheffield Utd,20-224,2000,9.0,47.4,2.33,11.6,15.4,22.8,3.56,41.2,1.56,3.33,46.7,1.89,0.11,27.2,108.9,54.6,2.33,0.56,0.11,1.56,1.78,32.3,24.7,76.3,3.11,Matches
65,Willy Boly\Willy-Boly,ci CIV,DF,Wolves,30-033,1991,16.0,56.9,6.56,28.6,28.8,1.94,0.75,55.9,0.25,0.25,100.0,0.25,0.00,33.8,143.4,60.3,1.88,0.38,0.00,0.13,0.25,38.2,36.9,96.6,0.13,Matches
66,Jarrod Bowen\Jarrod-Bowen,eng ENG,FWMF,West Ham,24-078,1996,20.4,37.7,0.49,5.78,15.7,19.9,4.36,35.0,1.47,2.30,63.8,1.47,0.05,27.4,199.5,92.9,4.51,1.03,1.52,1.76,2.25,38.0,24.8,65.2,6.42,Matches
67,Robbie Brady\Robbie-Brady,ie IRL,MF,Burnley,29-053,1992,11.4,45.1,3.60,10.0,20.5,17.6,2.02,43.4,1.32,1.84,71.4,1.49,0.18,26.8,163.8,76.6,4.21,1.05,0.44,1.32,0.96,33.2,25.9,77.8,2.63,Matches
68,Rhian Brewster\Rhian-Brewster,eng ENG,FW,Sheffield Utd,20-341,2000,9.6,27.1,0.52,2.50,10.7,15.1,2.60,26.4,0.83,1.46,57.1,0.83,0.00,16.3,54.8,25.4,1.25,0.52,0.10,1.77,1.46,37.9,17.6,46.4,5.00,Matches
69,Josh Brownhill\Josh-Brownhill,eng ENG,MF,Burnley,25-079,1995,21.8,49.3,2.34,9.91,28.0,13.5,1.79,48.3,0.37,0.50,72.7,0.37,0.00,24.9,99.7,42.8,1.83,0.83,0.28,0.64,0.41,30.5,26.8,88.0,1.79,Matches
70,Joe Bryan\Joe-Bryan,eng ENG,DFFW,Fulham,27-172,1993,5.2,67.3,3.46,21.5,28.7,20.4,1.35,55.4,1.54,1.54,100.0,1.54,0.00,33.5,162.1,97.3,4.23,1.35,0.00,0.77,0.96,39.6,35.6,89.8,1.35,Matches
71,Kean Bryan\Kean-Bryan,eng ENG,DF,Sheffield Utd,24-127,1996,7.3,49.3,5.89,23.0,22.6,6.58,0.82,47.4,0.41,0.41,100.0,0.41,0.00,26.0,124.2,45.8,0.82,0.55,0.00,0.41,0.27,27.4,25.2,92.0,0.82,Matches
72,Oliver Burke\Oliver-Burke,sco SCO,FW,Sheffield Utd,23-335,1997,10.7,30.9,0.28,2.43,13.0,17.5,4.86,29.9,1.21,1.68,72.2,1.21,0.19,18.0,93.8,48.1,2.99,0.47,1.40,3.36,1.96,46.8,20.7,44.3,8.32,Matches
73,Dan Burn\Dan-Burn,eng ENG,DF,Brighton,28-303,1992,16.4,67.3,4.21,21.6,32.8,16.6,2.20,60.7,0.55,0.79,69.2,0.61,0.00,38.0,208.4,116.2,3.84,1.10,0.06,0.91,0.67,45.9,41.2,89.6,2.20,Matches
74,David Button\David-Button,eng ENG,GK,West Brom,32-009,1989,1.0,39.0,34.0,38.0,1.00,0.00,0.00,24.0,0.00,0.00,,0.00,0.00,12.0,75.0,45.0,0.00,0.00,0.00,0.00,0.00,13.0,13.0,100.0,0.00,Matches
75,Oskar Buur\Oskar-Buur,dk DEN,DF,Wolves,22-342,1998,0.2,85.0,0.00,25.0,60.0,0.00,0.00,80.0,0.00,0.00,,0.00,0.00,55.0,115.0,85.0,5.00,0.00,0.00,0.00,5.00,70.0,65.0,92.9,0.00,Matches
76,Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,39-161,1981,1.0,26.0,21.0,26.0,1.00,0.00,0.00,19.0,0.00,0.00,,0.00,0.00,12.0,77.0,20.0,0.00,0.00,0.00,0.00,0.00,15.0,15.0,100.0,0.00,Matches
77,Gary Cahill\Gary-Cahill,eng ENG,DF,Crystal Palace,35-079,1985,13.0,46.8,7.31,29.2,19.1,1.69,0.92,45.8,0.08,0.08,100.0,0.08,0.00,23.7,125.5,61.5,1.54,0.00,0.00,0.08,0.15,30.3,29.0,95.7,0.00,Matches
78,Tom Cairney\Tom-Cairney,sco SCO,MF,Fulham,30-047,1991,8.4,82.0,1.19,12.3,45.6,30.0,1.55,78.3,1.43,2.14,66.7,1.43,0.00,64.9,325.8,151.1,6.90,2.74,0.12,1.31,0.83,72.6,66.9,92.1,3.69,Matches
79,Dominic Calvert-Lewin\Dominic-Calvert-Lewin,eng ENG,FW,Everton,23-357,1997,21.9,35.1,1.51,3.29,15.3,17.9,5.43,34.4,0.73,1.64,44.4,0.78,0.14,18.4,95.8,35.5,2.01,0.46,0.82,3.38,1.74,51.1,26.8,52.5,6.48,Matches
80,João Cancelo\Joao-Cancelo,pt POR,DF,Manchester City,26-285,1994,20.6,94.4,3.01,18.7,49.9,31.8,3.30,85.3,1.94,3.45,56.3,2.04,0.34,63.8,307.8,180.3,9.22,2.91,0.83,0.87,1.12,69.8,66.7,95.6,3.45,Matches
